14D,220802,.1,.1,.095,.097,143834
1AD,220802,.051,.055,.051,.055,295000
1AE,220802,.195,.195,.19,.19,106250
1AG,220802,.016,.016,.016,.016,63
1MC,220802,.017,.017,.016,.017,12601286
1ST,220802,.009,.009,.009,.009,240171
1VG,220802,.185,.185,.175,.175,83883
29M,220802,1.62,1.625,1.51,1.51,1748225
360,220802,4.38,4.38,4.13,4.28,786286
3DA,220802,.18,.18,.17,.17,131178
3DP,220802,.235,.245,.235,.235,159829
3MF,220802,.014,.014,.012,.012,474200
3PL,220802,1.25,1.255,1.25,1.255,22
4DS,220802,.1,.105,.1,.1,1906099
4DX,220802,.66,.68,.64,.64,261016
5EA,220802,2.32,2.44,2.24,2.25,786145
5GG,220802,.395,.4,.355,.365,76590
88E,220802,.012,.012,.01,.01,44909173
8CO,220802,.105,.105,.099,.099,75906
8VI,220802,1.505,1.505,1.5,1.5,4098
92E,220802,.455,.465,.45,.465,161020
99L,220802,.034,.034,.033,.033,10000
A1G,220802,.1,.1,.1,.1,140
A1M,220802,.415,.415,.395,.395,19442
A200,220802,115.84,116.41,115.5,116.2,48824
A2B,220802,1.175,1.2,1.175,1.2,2707
A2M,220802,4.46,5.08,4.4,4.9,12072446
A2MKCD,220802,1.465,1.5,1.465,1.5,23795
A2MKOB,220802,2.96,2.96,2.96,2.96,8242
A3D,220802,.038,.038,.037,.037,250000
A4N,220802,.405,.405,.39,.395,542334
A8G,220802,.25,.25,.24,.24,2084
AAA,220802,50.07,50.08,50.07,50.075,79605
AAC,220802,1.865,1.895,1.855,1.88,752857
AAJ,220802,.061,.061,.056,.056,108750
AAP,220802,.026,.026,.026,.026,5877
AAR,220802,.077,.079,.077,.079,97662
AASF,220802,3.22,3.23,3.21,3.23,34722
AAU,220802,.053,.053,.051,.052,687716
AAUOB,220802,.006,.006,.006,.006,750000
ABA,220802,6.7,6.7,6.6,6.67,6570
ABB,220802,3.04,3.05,2.92,3.01,5257717
ABC,220802,2.54,2.6,2.5,2.57,1088736
ABE,220802,.405,.405,.355,.355,16000
ABP,220802,2.92,2.94,2.87,2.89,750183
ABV,220802,.034,.034,.034,.034,11494
ABX,220802,.15,.15,.15,.15,12195
ABY,220802,1.475,1.475,1.35,1.395,1323239
AC8,220802,.044,.044,.043,.043,60272
ACB,220802,.068,.068,.063,.066,2575526
ACDC,220802,83.54,83.6,82.5,83.38,6638
ACF,220802,.495,.495,.485,.485,34375
ACL,220802,5.17,5.4,5.15,5.38,206558
ACQ,220802,1.175,1.175,1.16,1.165,33280
ACR,220802,.053,.053,.053,.053,9648
ACW,220802,.067,.067,.06,.061,875185
AD1,220802,.019,.019,.019,.019,250000
AD8,220802,9.88,10.1,9.83,9.84,374666
ADA,220802,.9,.91,.9,.91,5823
ADD,220802,.028,.03,.028,.029,756193
ADEF,220802,4.46,4.46,4.33,4.33,11004
ADH,220802,2.47,2.52,2.44,2.48,742004
ADN,220802,.095,.097,.092,.096,3281767
ADO,220802,.067,.07,.066,.07,1109469
ADR,220802,.011,.011,.011,.011,231666
ADS,220802,.011,.012,.011,.012,488590
ADT,220802,2.11,2.11,2.04,2.07,284216
ADV,220802,.008,.008,.007,.008,9977433
ADY,220802,.008,.009,.008,.009,107602
AEAE,220802,9.41,9.41,9.4,9.4,1090
AEE,220802,.205,.215,.205,.21,289308
AEEO,220802,.15,.15,.15,.15,25700
AEF,220802,6.32,6.4,6.18,6.39,87022
AEG,220802,.9,.9,.9,.9,125207
AEI,220802,.057,.058,.057,.058,90000
AEV,220802,.012,.012,.012,.012,1050844
AFG,220802,1.895,1.9,1.827,1.85,307915
AFI,220802,8.04,8.07,8,8.04,319215
AFL,220802,.395,.395,.39,.395,45590
AFP,220802,3.4,3.4,3.4,3.4,882
AFW,220802,.002,.002,.002,.002,11951
AGC,220802,.072,.076,.072,.076,74499
AGD,220802,.046,.046,.045,.045,40000
AGE,220802,.058,.058,.055,.055,8858884
AGG,220802,4.35,4.35,4.27,4.27,11576
AGH,220802,.15,.15,.14,.14,440080
AGI,220802,.9,.9,.84,.84,15508
AGL,220802,8.44,8.59,8.395,8.59,1799909
AGN,220802,.44,.45,.435,.435,65971
AGVT,220802,44.48,44.71,44.39,44.62,75954
AGX1,220802,4.45,4.45,4.41,4.45,52198
AGY,220802,.38,.385,.365,.365,3793553
AHF,220802,.075,.075,.074,.075,26456
AHI,220802,.12,.12,.12,.12,39403
AHK,220802,.2,.2,.2,.2,6661
AHN,220802,.011,.012,.011,.012,3568519
AHQ,220802,.115,.12,.115,.12,498786
AIA,220802,6.68,6.82,6.68,6.79,615149
